frame_name,coordinates
00317.jpg,"[{'contour_0': (400, 351, 172, 77)}]"
00318.jpg,[]
00319.jpg,"[{'contour_0': (659, 475, 87, 31)}, {'contour_1': (572, 440, 86, 32)}]"
00320.jpg,"[{'contour_0': (660, 479, 168, 69)}]"
00321.jpg,"[{'contour_0': (743, 521, 166, 60)}]"
00322.jpg,[]
00323.jpg,[]
00324.jpg,"[{'contour_0': (1007, 649, 165, 71)}]"
00325.jpg,"[{'contour_0': (1089, 679, 87, 41)}]"
00326.jpg,"[{'contour_0': (630, 290, 241, 146)}]"
00327.jpg,[]
00328.jpg,[]
00329.jpg,[]
00330.jpg,[]
00331.jpg,[]
00332.jpg,[]
00333.jpg,[]
00334.jpg,"[{'contour_0': (623, 273, 185, 108)}]"
00335.jpg,[]
00336.jpg,[]
00337.jpg,[]
00338.jpg,"[{'contour_0': (579, 690, 168, 30)}]"
00339.jpg,"[{'contour_0': (624, 255, 90, 57)}]"
00340.jpg,[]
00341.jpg,[]
00342.jpg,[]
00343.jpg,"[{'contour_0': (380, 446, 153, 73)}]"
00344.jpg,[]
00345.jpg,"[{'contour_0': (675, 248, 78, 47)}]"
00346.jpg,"[{'contour_0': (124, 667, 96, 53)}]"
00347.jpg,[]
00348.jpg,"[{'contour_0': (611, 240, 140, 62)}]"
00349.jpg,[]
00350.jpg,"[{'contour_0': (552, 692, 158, 28)}]"
00351.jpg,[]
00352.jpg,"[{'contour_0': (193, 705, 126, 15)}]"
00353.jpg,[]
00354.jpg,[]
00355.jpg,[]
00356.jpg,"[{'contour_0': (283, 651, 153, 69)}]"
00357.jpg,"[{'contour_0': (375, 652, 107, 68)}]"
00358.jpg,[]
00359.jpg,[]
00360.jpg,[]
00361.jpg,"[{'contour_0': (148, 173, 152, 60)}]"
00362.jpg,"[{'contour_0': (219, 217, 152, 58)}]"
00363.jpg,"[{'contour_0': (598, 692, 148, 28)}]"
00364.jpg,[]
00365.jpg,[]
00366.jpg,"[{'contour_0': (500, 369, 144, 56)}]"
00367.jpg,"[{'contour_0': (110, 259, 130, 63)}]"
00368.jpg,[]
00369.jpg,"[{'contour_0': (418, 651, 111, 69)}]"
00370.jpg,"[{'contour_0': (493, 675, 83, 45)}, {'contour_1': (386, 398, 60, 33)}]"
00371.jpg,"[{'contour_0': (420, 666, 148, 54)}, {'contour_1': (389, 407, 125, 60)}, {'contour_2': (643, 253, 75, 49)}, {'contour_3': (1089, 143, 191, 116)}]"
00372.jpg,"[{'contour_0': (456, 445, 121, 57)}]"
00373.jpg,"[{'contour_0': (524, 472, 136, 65)}, {'contour_1': (218, 120, 753, 446)}]"
00374.jpg,"[{'contour_0': (1028, 654, 222, 66)}, {'contour_1': (423, 237, 582, 342)}]"
00375.jpg,"[{'contour_0': (1088, 685, 68, 35)}, {'contour_1': (577, 327, 424, 250)}, {'contour_2': (1085, 128, 84, 48)}]"
00376.jpg,"[{'contour_0': (664, 249, 190, 104)}, {'contour_1': (1139, 176, 133, 84)}, {'contour_2': (1172, 39, 108, 49)}]"
00377.jpg,"[{'contour_0': (1138, 654, 121, 66)}, {'contour_1': (657, 368, 317, 188)}, {'contour_2': (242, 118, 263, 161)}]"
00378.jpg,"[{'contour_0': (1144, 654, 123, 66)}, {'contour_1': (841, 651, 120, 69)}, {'contour_2': (361, 645, 112, 29)}, {'contour_3': (672, 371, 308, 184)}]"
00379.jpg,"[{'contour_0': (903, 668, 128, 52)}, {'contour_1': (1151, 652, 129, 68)}]"
00380.jpg,"[{'contour_0': (684, 254, 184, 107)}]"
00381.jpg,[]
00382.jpg,"[{'contour_0': (478, 529, 113, 53)}]"
00383.jpg,[]
00384.jpg,[]
00385.jpg,"[{'contour_0': (736, 672, 117, 48)}, {'contour_1': (344, 304, 106, 54)}, {'contour_2': (703, 257, 159, 91)}]"
00386.jpg,[]
00387.jpg,[]
00388.jpg,"[{'contour_0': (326, 111, 210, 85)}]"
00389.jpg,"[{'contour_0': (572, 422, 95, 57)}, {'contour_1': (385, 141, 199, 56)}]"
